"strataID","BpS","SCLASS","YEAR","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2015_Na0710412_fmi","Na0710412","E",2015,"fmi","Na0710412_fmi","E",47798.4294308847,107664.08824,44883.4811960894,41968.5371601935,47798.4294308847,0
"2015_Na1010471_frn","Na1010471","A",2015,"frn","Na1010471_frn","A",69108.0685823192,685999.617,82914.8954398386,69108.0685823192,96721.7291573543,0
"2015_Na1010471_frn","Na1010471","B",2015,"frn","Na1010471_frn","B",259323.001411544,685999.617,239589.548090915,219856.094084287,259323.001411544,0
"2015_Na1010471_frn","Na1010471","C",2015,"frn","Na1010471_frn","C",60716.8307152257,685999.617,33972.0428490909,24387.5731321899,43556.5132519914,17160.3174632343
"2015_Na1010471_frn","Na1010471","D",2015,"frn","Na1010471_frn","D",51718.2012412447,685999.617,64087.837635161,51718.2012412447,76457.4733430778,0
"2015_Na1010471_frn","Na1010471","E",2015,"frn","Na1010471_frn","E",245133.515049667,685999.617,265435.302588989,245133.515049667,285737.064746325,0
"2015_R1RFWF_fcw","R1RFWF","A",2015,"fcw","R1RFWF_fcw","A",22146.4190122181,149554.85523,25313.4274728498,22146.4190122181,28480.4374290302,0
"2015_R1RFWF_fcw","R1RFWF","B",2015,"fcw","R1RFWF_fcw","B",41604.2120252224,149554.85523,37633.375530481,33662.5361941974,41604.2120252224,0
"2015_R1RFWF_fcw","R1RFWF","C",2015,"fcw","R1RFWF_fcw","C",10313.6257055932,149554.85523,13121.2143666255,10313.6257055932,15928.8037754321,0
"2015_R1RFWF_fcw","R1RFWF","D",2015,"fcw","R1RFWF_fcw","D",21579.9316918162,149554.85523,24826.7910789718,21579.9316918162,28073.6548032182,0
"2015_R1RFWF_fcw","R1RFWF","E",2015,"fcw","R1RFWF_fcw","E",53910.6667951501,149554.85523,48660.0452855233,44748.5300232186,52571.5632398154,1339.10355533471
"2015_R1RFWF_frm","R1RFWF","A",2015,"frm","R1RFWF_frm","A",563.084182096118,3802.50971,643.607013699841,563.084182096118,724.12988332866,0
"2015_R1RFWF_frm","R1RFWF","B",2015,"frm","R1RFWF_frm","B",1057.80865462048,3802.50971,956.848078617409,855.887430366656,1057.80865462048,0
"2015_R1RFWF_frm","R1RFWF","C",2015,"frm","R1RFWF_frm","C",262.229279220064,3802.50971,333.613676128093,262.229279220064,404.99809204867,0
"2015_R1RFWF_frm","R1RFWF","D",2015,"frm","R1RFWF_frm","D",548.680948358857,3802.50971,631.234031156981,548.680948358857,713.787224227888,0
"2015_R1RFWF_frm","R1RFWF","E",2015,"frm","R1RFWF_frm","E",1370.70664570448,3802.50971,1237.20687237258,1137.754569451,1336.65924373933,34.0474019651508
"2015_RaABAMlw_fsi","RaABAMlw","A",2015,"fsi","RaABAMlw_fsi","A",254823.276149582,2302986.736655,302943.886926699,254823.276149582,351064.497703816,0
"2015_RaABAMlw_fsi","RaABAMlw","B",2015,"fsi","RaABAMlw_fsi","B",542598.464936741,2302986.736655,479553.562790497,416508.614584519,542598.464936741,0
"2015_RaABAMlw_fsi","RaABAMlw","C",2015,"fsi","RaABAMlw_fsi","C",164386.07401088,2302986.736655,68230.926585928,46258.0932837148,90203.7529791809,74182.3210316992
"2015_RaABAMlw_fsi","RaABAMlw","D",2015,"fsi","RaABAMlw_fsi","D",134724.91984819,2302986.736655,176839.507031156,134724.91984819,218954.085002175,0
"2015_RaABAMlw_fsi","RaABAMlw","E",2015,"fsi","RaABAMlw_fsi","E",1206454.00170961,2302986.736655,1275418.85332072,1206454.00170961,1344383.70493183,0
"2015_RaABAMlw_fsw","RaABAMlw","A",2015,"fsw","RaABAMlw_fsw","A",33792.9233781996,305406.380095,40174.3502928616,33792.9233781996,46555.7772075236,0
"2015_RaABAMlw_fsw","RaABAMlw","B",2015,"fsw","RaABAMlw_fsw","B",72744.2510388353,305406.380095,63595.1199120807,55234.5292458788,71955.704470155,788.546568680365
"2015_RaABAMlw_fsw","RaABAMlw","C",2015,"fsw","RaABAMlw_fsw","C",21011.212415,305406.380095,9048.31971781244,6134.43255882396,11962.2059605818,9049.00645441823
"2015_RaABAMlw_fsw","RaABAMlw","D",2015,"fsw","RaABAMlw_fsw","D",17866.2991950998,305406.380095,23451.2482597334,17866.2991950998,29036.1961027415,0
"2015_RaABAMlw_fsw","RaABAMlw","E",2015,"fsw","RaABAMlw_fsw","E",159991.694067865,305406.380095,169137.341912512,159991.694067865,178282.989757158,0
"2015_RaABAMlw_fwc","RaABAMlw","A",2015,"fwc","RaABAMlw_fwc","A",42247.7429595115,381817.52138,50225.7708142864,42247.7429595115,58203.7986690612,0
"2015_RaABAMlw_fwc","RaABAMlw","B",2015,"fwc","RaABAMlw_fwc","B",90952.6523720393,381817.52138,79506.2992762019,69053.930846803,89958.6600692503,993.992302788989
"2015_RaABAMlw_fwc","RaABAMlw","C",2015,"fwc","RaABAMlw_fwc","C",26259.95681,381817.52138,11312.1638331009,7669.23675253398,14955.0897682153,11304.8670417847
"2015_RaABAMlw_fwc","RaABAMlw","D",2015,"fwc","RaABAMlw_fwc","D",22336.3574552193,381817.52138,29318.6327050967,22336.3574552193,36300.9064277039,0
"2015_RaABAMlw_fwc","RaABAMlw","E",2015,"fwc","RaABAMlw_fwc","E",200020.81178323,381817.52138,211454.654751314,200020.81178323,222888.497719399,0
"2015_RaABAMup_fsi","RaABAMup","A",2015,"fsi","RaABAMup_fsi","A",6149.30840213925,49085.467635,5177.60551470039,4205.90257817606,6149.30840213925,0
"2015_RaABAMup_fsi","RaABAMup","B",2015,"fsi","RaABAMup_fsi","B",13935.0306767385,49085.467635,12637.8133384133,11340.5950674643,13935.0306767385,0
"2015_RaABAMup_fsi","RaABAMup","C",2015,"fsi","RaABAMup_fsi","C",1568.05725388958,49085.467635,1139.25313699741,710.449020105246,1568.05725388958,0
"2015_RaABAMup_fsi","RaABAMup","D",2015,"fsi","RaABAMup_fsi","D",1828.59584778882,49085.467635,1343.47214521254,858.348589892668,1828.59584778882,0
"2015_RaABAMup_fsi","RaABAMup","E",2015,"fsi","RaABAMup_fsi","E",25604.4754544439,49085.467635,28787.3242850438,27308.5099579725,30266.1386121151,-1704.0345035286
"2015_RaABAMup_fst","RaABAMup","A",2015,"fst","RaABAMup_fst","A",125643.929128674,1466341.86174,154671.842310565,125643.929128674,183699.754026114,0
"2015_RaABAMup_fst","RaABAMup","B",2015,"fst","RaABAMup_fst","B",452419.713085157,1466341.86174,377532.406877957,338780.296606725,416284.489288694,36135.2237964635
"2015_RaABAMup_fst","RaABAMup","C",2015,"fst","RaABAMup_fst","C",46842.9476944384,1466341.86174,34033.1802137453,21223.4127330523,46842.9476944384,0
"2015_RaABAMup_fst","RaABAMup","D",2015,"fst","RaABAMup_fst","D",25641.6517956867,1466341.86174,40133.8632699936,25641.6517956867,54626.0791433262,0
"2015_RaABAMup_fst","RaABAMup","E",2015,"fst","RaABAMup_fst","E",815793.620036044,1466341.86174,859970.592529209,815793.620036044,904147.565022374,0
"2015_RaABAMup_fsw","RaABAMup","A",2015,"fsw","RaABAMup_fsw","A",43.7144187897218,510.17413,53.8138988221024,43.7144187897218,63.9133783443089,0
"2015_RaABAMup_fsw","RaABAMup","B",2015,"fsw","RaABAMup_fsw","B",144.834968363613,510.17413,131.35222573351,117.869473410099,144.834968363613,0
"2015_RaABAMup_fsw","RaABAMup","C",2015,"fsw","RaABAMup_fsw","C",28.4507499950487,510.17413,11.8409277943395,7.38411444781882,16.2977411408602,12.1530088541884
"2015_RaABAMup_fsw","RaABAMup","D",2015,"fsw","RaABAMup_fsw","D",9.34059,510.17413,13.9634960383737,8.92132164944421,19.0056719578255,0
"2015_RaABAMup_fsw","RaABAMup","E",2015,"fsw","RaABAMup_fsw","E",283.833402851617,510.17413,299.20358977446,283.833402851617,314.573776697304,0
"2015_RaABLA_faf","RaABLA","A",2015,"faf","RaABLA_faf","A",22199.2759038078,171601.76116,26188.6892630158,22199.2759038078,30178.1024506219,0
"2015_RaABLA_faf","RaABLA","B",2015,"faf","RaABLA_faf","B",46507.4518229932,171601.76116,36310.5559955902,31853.7373629717,40767.3746282088,5740.07719478439
"2015_RaABLA_faf","RaABLA","C",2015,"faf","RaABLA_faf","C",2471.24468454441,171601.76116,1502.97110788992,534.697531235428,2471.24468454441,0
"2015_RaABLA_faf","RaABLA","D",2015,"faf","RaABLA_faf","D",2747.14651094274,171601.76116,4473.59956884241,2747.14651094274,6200.05296994559,0
"2015_RaABLA_faf","RaABLA","E",2015,"faf","RaABLA_faf","E",97676.6422377118,171601.76116,103125.94608267,97676.6422377118,108575.243406762,0
"2015_RaDFHEdy_fdg","RaDFHEdy","A",2015,"fdg","RaDFHEdy_fdg","A",114580.019653901,1480643.6394,83516.2774894454,62399.8339199418,104632.728462167,9947.29119173362
"2015_RaDFHEdy_fdg","RaDFHEdy","B",2015,"fdg","RaDFHEdy_fdg","B",282776.310191476,1480643.6394,251566.095354993,220355.853866925,282776.310191476,0
"2015_RaDFHEdy_fdg","RaDFHEdy","C",2015,"fdg","RaDFHEdy_fdg","C",107246.104463087,1480643.6394,86875.0687241842,66504.0255820638,107246.104463087,0
"2015_RaDFHEdy_fdg","RaDFHEdy","D",2015,"fdg","RaDFHEdy_fdg","D",191643.883143249,1480643.6394,226859.127976036,191643.883143249,262074.387615259,0
"2015_RaDFHEdy_fdg","RaDFHEdy","E",2015,"fdg","RaDFHEdy_fdg","E",784397.321948288,1480643.6394,831827.069855341,784397.321948288,879256.816281751,0
"2015_RaDFHEdy_fwi","RaDFHEdy","A",2015,"fwi","RaDFHEdy_fwi","A",458764.753151002,5928320.79961,334389.228962151,249841.503705582,418936.983860325,39827.769290677
"2015_RaDFHEdy_fwi","RaDFHEdy","B",2015,"fwi","RaDFHEdy_fwi","B",1132202.66966089,5928320.79961,1007240.68633694,882278.596303213,1132202.66966089,0
"2015_RaDFHEdy_fwi","RaDFHEdy","C",2015,"fwi","RaDFHEdy_fwi","C",429400.630136299,5928320.79961,347837.42906148,266274.198345058,429400.630136299,0
"2015_RaDFHEdy_fwi","RaDFHEdy","D",2015,"fwi","RaDFHEdy_fwi","D",767319.284886498,5928320.79961,908316.931349335,767319.284886498,1049314.63709538,0
"2015_RaDFHEdy_fwi","RaDFHEdy","E",2015,"fwi","RaDFHEdy_fwi","E",3140633.46177531,5928320.79961,3330536.52390009,3140633.46177531,3520439.58009656,0
"2015_RaDFHEdy_fwx","RaDFHEdy","A",2015,"fwx","RaDFHEdy_fwx","A",4669.09663734667,110789.849965,6249.14436294776,4669.09663734667,7829.1926424981,0
"2015_RaDFHEdy_fwx","RaDFHEdy","B",2015,"fwx","RaDFHEdy_fwx","B",21158.8691202329,110789.849965,18823.5502581531,16488.2294018559,21158.8691202329,0
"2015_RaDFHEdy_fwx","RaDFHEdy","C",2015,"fwx","RaDFHEdy_fwx","C",11929.1464207854,110789.849965,6500.46748152832,4976.1946900951,8024.73971901228,3904.40670177315
"2015_RaDFHEdy_fwx","RaDFHEdy","D",2015,"fwx","RaDFHEdy_fwx","D",14339.8428191367,110789.849965,16974.8399161331,14339.8428191367,19609.838121028,0
"2015_RaDFHEdy_fwx","RaDFHEdy","E",2015,"fwx","RaDFHEdy_fwx","E",58692.8949674983,110789.849965,62241.8479462377,58692.8949674983,65790.8008141873,0
"2015_RaDFHEwt_fdm","RaDFHEwt","A",2015,"fdm","RaDFHEwt_fdm","A",8590.72541444284,143058.69728,6626.81576124169,4662.90653721664,8590.72541444284,0
"2015_RaDFHEwt_fdm","RaDFHEwt","B",2015,"fdm","RaDFHEwt_fdm","B",27606.1199312247,143058.69728,24324.1478402735,21042.1744617941,27606.1199312247,0
"2015_RaDFHEwt_fdm","RaDFHEwt","C",2015,"fdm","RaDFHEwt_fdm","C",1621.36690420127,143058.69728,865.747889153284,110.128731046603,1621.36690420127,2.27373675443232e-13
"2015_RaDFHEwt_fdm","RaDFHEwt","D",2015,"fdm","RaDFHEwt_fdm","D",5344.15185,143058.69728,4974.18809968689,3263.49849219533,6684.87756411976,0
"2015_RaDFHEwt_fdm","RaDFHEwt","E",2015,"fdm","RaDFHEwt_fdm","E",99896.3331801312,143058.69728,106267.796831292,102226.785907135,110308.818627911,-2330.45272700359
"2015_RaDFHEwt_fhc","RaDFHEwt","A",2015,"fhc","RaDFHEwt_fhc","A",8176.59001264533,136162.22833,6307.35507829332,4438.12055242799,8176.59001264533,0
"2015_RaDFHEwt_fhc","RaDFHEwt","B",2015,"fhc","RaDFHEwt_fhc","B",26275.3043110948,136162.22833,23151.5471280825,20027.7887196101,26275.3043110948,0
"2015_RaDFHEwt_fhc","RaDFHEwt","C",2015,"fhc","RaDFHEwt_fhc","C",1543.20523543186,136162.22833,824.012548697976,104.819725801859,1543.20523543187,0
"2015_RaDFHEwt_fhc","RaDFHEwt","D",2015,"fhc","RaDFHEwt_fhc","D",6362.61788028333,136162.22833,4734.39608121347,3106.17414598137,6362.61788028333,0
"2015_RaDFHEwt_fhc","RaDFHEwt","E",2015,"fhc","RaDFHEwt_fhc","E",93804.5108905447,136162.22833,101144.916676739,97298.711848925,104991.131852883,-3494.20095838029
"2015_RaDFHEwt_fwc","RaDFHEwt","A",2015,"fwc","RaDFHEwt_fwc","A",21.9420981990747,365.394985,16.9259562103897,11.9098153178896,21.9420981990747,0
"2015_RaDFHEwt_fwc","RaDFHEwt","B",2015,"fwc","RaDFHEwt_fwc","B",70.5104825499363,365.394985,62.1277965214428,53.7451072043945,70.5104825499363,0
"2015_RaDFHEwt_fwc","RaDFHEwt","C",2015,"fwc","RaDFHEwt_fwc","C",4.14123256330633,365.394985,2.21125973453955,0.281286540377775,4.14123256330633,0
"2015_RaDFHEwt_fwc","RaDFHEwt","D",2015,"fwc","RaDFHEwt_fwc","D",7.69747360194739,365.394985,12.7048786311461,8.33550147789544,17.0742554190018,-0.638027875948048
"2015_RaDFHEwt_fwc","RaDFHEwt","E",2015,"fwc","RaDFHEwt_fwc","E",261.103698085735,365.394985,271.425091710112,261.103698085735,281.746513104507,0
"2015_RaDFHEwt_fwm","RaDFHEwt","A",2015,"fwm","RaDFHEwt_fwm","A",132336.854127757,2203764.762615,102083.573670343,71830.2998242231,132336.854127757,0
"2015_RaDFHEwt_fwm","RaDFHEwt","B",2015,"fwm","RaDFHEwt_fwm","B",425261.766629144,2203764.762615,374704.236164792,324146.685866557,425261.766629144,0
"2015_RaDFHEwt_fwm","RaDFHEwt","C",2015,"fwm","RaDFHEwt_fwm","C",24976.5398307486,2203764.762615,13336.5166026229,1696.49117073247,24976.5398307486,0
"2015_RaDFHEwt_fwm","RaDFHEwt","D",2015,"fwm","RaDFHEwt_fwm","D",55964.589775,2203764.762615,76625.4737749618,50272.9517092612,102977.993636898,0
"2015_RaDFHEwt_fwm","RaDFHEwt","E",2015,"fwm","RaDFHEwt_fwm","E",1565225.01225235,2203764.762615,1637014.94917969,1574764.71449056,1699265.35135494,-9539.70223821304
"2015_RaDFHEwt_fwn","RaDFHEwt","A",2015,"fwn","RaDFHEwt_fwn","A",180074.432868004,2998723.91873,138907.953910402,97741.4839489725,180074.432868004,0
"2015_RaDFHEwt_fwn","RaDFHEwt","B",2015,"fwn","RaDFHEwt_fwn","B",578665.496855925,2998723.91873,509870.460993988,441075.398143535,578665.496855925,0
"2015_RaDFHEwt_fwn","RaDFHEwt","C",2015,"fwn","RaDFHEwt_fwn","C",33986.2714333921,2998723.91873,18147.3685428066,2308.46265349713,33986.2714333921,1.45519152283669e-11
"2015_RaDFHEwt_fwn","RaDFHEwt","D",2015,"fwn","RaDFHEwt_fwn","D",140125.016000058,2998723.91873,104266.410322461,68407.8016461401,140125.016000058,0
"2015_RaDFHEwt_fwn","RaDFHEwt","E",2015,"fwn","RaDFHEwt_fwn","E",2065872.70157262,2998723.91873,2227531.706968,2142826.0837202,2312237.55811882,-76953.3821475781
"2015_RaDFHEwt_fww","RaDFHEwt","A",2015,"fww","RaDFHEwt_fww","A",55418.9156977405,922874.088265,42749.7011369127,30080.4893447071,55418.9156977405,0
"2015_RaDFHEwt_fww","RaDFHEwt","B",2015,"fww","RaDFHEwt_fww","B",178087.549002342,922874.088265,156915.491247478,135743.425186748,178087.549002342,0
"2015_RaDFHEwt_fww","RaDFHEwt","C",2015,"fww","RaDFHEwt_fww","C",10459.4654635303,922874.088265,5584.95435133104,710.442316257721,10459.4654635303,0
"2015_RaDFHEwt_fww","RaDFHEwt","D",2015,"fww","RaDFHEwt_fww","D",43124.2588143759,922874.088265,32088.571996237,21052.884255224,43124.2588143759,0
"2015_RaDFHEwt_fww","RaDFHEwt","E",2015,"fww","RaDFHEwt_fww","E",635783.899287011,922874.088265,685535.363995797,659466.733823653,711604.06430637,-23682.8345366423
"2015_RaDFWV_fwx","RaDFWV","A",2015,"fwx","RaDFWV_fwx","A",172341.00214,1274809.283075,158087.032728283,133265.626566882,182908.451637777,0
"2015_RaDFWV_fwx","RaDFWV","B",2015,"fwx","RaDFWV_fwx","B",236333.458653066,1274809.283075,207246.085523581,178158.686897911,236333.458653066,0
"2015_RaDFWV_fwx","RaDFWV","C",2015,"fwx","RaDFWV_fwx","C",84500.3993285942,1274809.283075,107246.570229073,84500.3993285942,129992.746228788,0
"2015_RaDFWV_fwx","RaDFWV","D",2015,"fwx","RaDFWV_fwx","D",347411.021532692,1274809.283075,405198.760381175,368953.617409694,441443.903352655,-21542.5958770023
"2015_RaDFWV_fwx","RaDFWV","E",2015,"fwx","RaDFWV_fwx","E",434223.401420648,1274809.283075,397030.822739605,359838.267005129,434223.401420648,0
"2015_RaMCONdy_fdd","RaMCONdy","A",2015,"fdd","RaMCONdy_fdd","A",553449.750655,4248197.74101,593302.795222123,495620.772925588,690984.813270461,0
"2015_RaMCONdy_fdd","RaMCONdy","B",2015,"fdd","RaMCONdy_fdd","B",412619.010269668,4248197.74101,27878.6914704346,7704.37423977932,48053.0087010899,364566.001568578
"2015_RaMCONdy_fdd","RaMCONdy","C",2015,"fdd","RaMCONdy_fdd","C",1221642.39315154,4248197.74101,1343007.90544432,1221642.39315154,1464373.42198529,0
"2015_RaMCONdy_fdd","RaMCONdy","D",2015,"fdd","RaMCONdy_fdd","D",1624697.4139998,4248197.74101,1760929.69395254,1624697.4139998,1897161.96965708,0
"2015_RaMCONdy_fdd","RaMCONdy","E",2015,"fdd","RaMCONdy_fdd","E",435789.172933994,4248197.74101,523078.629431403,435789.172933994,610368.090177009,0
"2015_RaMCONdy_fdg","RaMCONdy","A",2015,"fdg","RaMCONdy_fdg","A",122431.267933061,1049415.73129,146561.277200905,122431.267933061,170691.285419333,0
"2015_RaMCONdy_fdg","RaMCONdy","B",2015,"fdg","RaMCONdy_fdg","B",107694.426540808,1049415.73129,6886.76450119734,1903.18154188549,11870.3474605092,95824.0790802985
"2015_RaMCONdy_fdg","RaMCONdy","C",2015,"fdg","RaMCONdy_fdg","C",301777.559224254,1049415.73129,331758.008723253,301777.559224254,361738.459271667,0
"2015_RaMCONdy_fdg","RaMCONdy","D",2015,"fdg","RaMCONdy_fdg","D",401342.670181877,1049415.73129,434995.599355065,401342.670181877,468648.527478837,0
"2015_RaMCONdy_fdg","RaMCONdy","E",2015,"fdg","RaMCONdy_fdg","E",116169.80741,1049415.73129,129214.075213086,107651.300971236,150776.850504351,0
"2015_RaMCONdy_fdx","RaMCONdy","A",2015,"fdx","RaMCONdy_fdx","A",804.421807883184,4596.682255,641.972101324794,536.277111143794,747.667086909112,56.7547209740724
"2015_RaMCONdy_fdx","RaMCONdy","B",2015,"fdx","RaMCONdy_fdx","B",51.9948519023376,4596.682255,30.1656123813811,8.33637286042456,51.9948519023377,0
"2015_RaMCONdy_fdx","RaMCONdy","C",2015,"fdx","RaMCONdy_fdx","C",1321.85511431027,4596.682255,1453.17637822878,1321.85511431027,1584.49764674398,0
"2015_RaMCONdy_fdx","RaMCONdy","D",2015,"fdx","RaMCONdy_fdx","D",1757.97319898337,4596.682255,1905.38076849732,1757.97319898337,2052.78833341459,0
"2015_RaMCONdy_fdx","RaMCONdy","E",2015,"fdx","RaMCONdy_fdx","E",660.43728192084,4596.682255,565.98736698763,471.537456651103,660.43728192084,0
"2015_RaMCONdy_fmd","RaMCONdy","A",2015,"fmd","RaMCONdy_fmd","A",313686.36834,2050495.021305,286371.892717044,239223.310517942,333520.472865651,0
"2015_RaMCONdy_fmd","RaMCONdy","B",2015,"fmd","RaMCONdy_fmd","B",91624.0196116074,2050495.021305,13456.3223149385,3718.70190232296,23193.9427275541,68430.0768840533
"2015_RaMCONdy_fmd","RaMCONdy","C",2015,"fmd","RaMCONdy_fmd","C",589655.142648045,2050495.021305,648235.132066171,589655.142648045,706815.123534792,0
"2015_RaMCONdy_fmd","RaMCONdy","D",2015,"fmd","RaMCONdy_fmd","D",784199.362090348,2050495.021305,849955.155208797,784199.362090348,915710.946276751,0
"2015_RaMCONdy_fmd","RaMCONdy","E",2015,"fmd","RaMCONdy_fmd","E",271330.128615,2050495.021305,252476.50669508,210344.146839862,294608.868600792,0
"2015_RaMCONdy_fmx","RaMCONdy","A",2015,"fmx","RaMCONdy_fmx","A",69552.824340846,596169.8286,83261.0079142362,69552.824340846,96969.1908914566,0
"2015_RaMCONdy_fmx","RaMCONdy","B",2015,"fmx","RaMCONdy_fmx","B",66020.2075019102,596169.8286,3912.34959594179,1081.1915428653,6743.50764901827,59276.6998528919
"2015_RaMCONdy_fmx","RaMCONdy","C",2015,"fmx","RaMCONdy_fmx","C",171438.897277529,596169.8286,188470.697836873,171438.897277529,205502.498992387,0
"2015_RaMCONdy_fmx","RaMCONdy","D",2015,"fmx","RaMCONdy_fmx","D",228001.528620191,596169.8286,247119.653514703,228001.528620191,266237.777813044,0
"2015_RaMCONdy_fmx","RaMCONdy","E",2015,"fmx","RaMCONdy_fmx","E",61156.3708595229,596169.8286,73406.116161227,61156.3708595229,85655.8620591009,0
"2015_RaMCONms_fcm","RaMCONms","A",2015,"fcm","RaMCONms_fcm","A",273704.701319282,2203967.80925,319929.014075439,273704.701319282,366153.346667307,0
"2015_RaMCONms_fcm","RaMCONms","B",2015,"fcm","RaMCONms_fcm","B",915293.512002668,2203967.80925,978667.760034013,915293.512002668,1042041.92211061,0
"2015_RaMCONms_fcm","RaMCONms","C",2015,"fcm","RaMCONms_fcm","C",475442.133167316,2203967.80925,275837.782911883,230295.232334032,321380.353325444,154061.779841872
"2015_RaMCONms_fcm","RaMCONms","D",2015,"fcm","RaMCONms_fcm","D",171690.39488555,2203967.80925,212501.64148396,171690.39488555,253312.90791808,0
"2015_RaMCONms_fcm","RaMCONms","E",2015,"fcm","RaMCONms_fcm","E",367837.067875184,2203967.80925,417031.612948672,367837.067875184,466226.199897549,0
"2015_RaMCONms_fmm","RaMCONms","A",2015,"fmm","RaMCONms_fmm","A",219758.04504762,1769570.105205,256871.637017358,219758.04504762,293985.244913227,0
"2015_RaMCONms_fmm","RaMCONms","B",2015,"fmm","RaMCONms_fmm","B",734890.967794663,1769570.105205,785774.276654913,734890.967794663,836657.516501928,0
"2015_RaMCONms_fmm","RaMCONms","C",2015,"fmm","RaMCONms_fmm","C",337949.073256316,1769570.105205,221470.700469531,184904.496698716,258036.920166477,79912.1530898392
"2015_RaMCONms_fmm","RaMCONms","D",2015,"fmm","RaMCONms_fmm","D",137850.557011402,1769570.105205,170617.987476401,137850.557011402,203385.43386753,0
"2015_RaMCONms_fmm","RaMCONms","E",2015,"fmm","RaMCONms_fmm","E",339121.462095,1769570.105205,334835.505356369,295337.107995098,374333.936339471,0
"2015_RaMCONsw_fdm","RaMCONsw","A",2015,"fdm","RaMCONsw_fdm","A",31253.831166954,252622.9284,36871.6517647795,31253.831166954,42489.4748888343,0
